A Number,First Name,Last Name,Birthdate,Country Of Origin,Gender,Port of Entry,Digitized Flag
409455557,Betty,Klehn,9/18/1970,Japan,Agender,"Rio Grande City, Texas - 2307",true
209389410,Vi,de Copeman,12/10/1988,Russia,Polygender,"Amarillo, Texas - 5502",false
735593382,Sada,Bendson,10/10/1966,Peru,Agender,"Rio Grande City, Texas - 2307",false
341464824,Lona,O'Downe,2/20/1961,Mexico,Polygender,"Buffalo, New York - 0901",false
848212533,Alia,Cantillion,11/25/1969,Mexico,Male,"Rio Grande City, Texas - 2307",true
896569420,Angel,Feek,10/18/1972,Philippines,Female,"Calexico East - Class A, California - 2507",true
240414248,Jeff,Greedier,5/12/1994,Brazil,Female,"Tucson, Arizona - 2609",true
324147148,Casar,Gotthard.sf,6/4/1973,Portugal,Genderfluid,"Buffalo, New York - 0901",false
945891467,Gardy,Cisec,7/3/1970,Mexico,Agender,"Nogales, Arizona - 2604",false
263397758,Sile,Carlill,8/5/1992,Philippines,Genderfluid,"Buffalo, New York - 0901",false
302886819,Ernst,Audiss,10/9/1984,Indonesia,Male,"Albuquerque, New Mexico - 2407",true
743683322,Riley,Juggings,6/5/1958,Armenia,Bigender,"Tucson, Arizona - 2609",false
902060065,Ramsay,Males,8/13/1989,United States,Female,"Rio Grande City, Texas - 2307",false
716006502,Emelita,Holdron,2/18/1954,China,Genderfluid,"Calexico East - Class A, California - 2507",false
133656490,Lalo,Beekmann,8/9/1979,Poland,Non-binary,"Rio Grande City, Texas - 2307",false
977122872,Pierette,Causier,3/13/1994,Yemen,Non-binary,"Albuquerque, New Mexico - 2407",false
989015184,Sibyl,Fidoe,6/10/1970,Germany,Polygender,"Albuquerque, New Mexico - 2407",true
113814489,Kaela,Faier,3/7/1964,China,Male,"Nogales, Arizona - 2604",false
574207863,Ario,Mendes,8/2/1985,Indonesia,Male,"Amarillo, Texas - 5502",true
873925580,Matthieu,David,11/4/1961,China,Bigender,"Amarillo, Texas - 5502",true
785255622,Valerye,Woollaston,11/13/1952,Czech Republic,Polygender,"Buffalo, New York - 0901",false
382127408,Eldredge,Worsnup,8/15/1974,Palestinian Territory,Male,"Calexico East - Class A, California - 2507",true
415119831,Renato,Ivanets,12/8/1975,Sri Lanka,Genderqueer,"Calexico East - Class A, California - 2507",true
947026342,Dagmar,Setterfield,12/19/1975,Brazil,Genderqueer,"Rio Grande City, Texas - 2307",true
779528605,Rolland,Sautter,8/19/1995,China,Female,"Amarillo, Texas - 5502",true
287965626,Shamus,Wilcockes,12/13/1994,Philippines,Female,"Calexico East - Class A, California - 2507",true
482813595,Dillie,Houtbie,8/1/1958,Portugal,Polygender,"Albuquerque, New Mexico - 2407",true
619061334,Maria,Roz,2/5/1963,United States,Female,"Amarillo, Texas - 5502",true
898619795,Nate,McGeorge,1/4/1985,China,Non-binary,"Nogales, Arizona - 2604",false
565017379,Deonne,Sutcliff,5/19/1962,Poland,Female,"Tucson, Arizona - 2609",false
122169420,Ashien,Aleavy,2/15/1973,Russia,Genderfluid,"Amarillo, Texas - 5502",false
167193564,Harald,Pickford,5/19/1974,Vietnam,Genderqueer,"Nogales, Arizona - 2604",false
418335256,Tomasine,Wakeford,8/13/1965,United States,Male,"Calexico East - Class A, California - 2507",true
981521371,Paulie,Garlant,6/14/1972,Pakistan,Genderqueer,"Albuquerque, New Mexico - 2407",true
418168976,Clark,Treanor,2/9/1994,China,Female,"Buffalo, New York - 0901",false
288873252,Robbi,Wakeham,6/19/1983,China,Polygender,"Rio Grande City, Texas - 2307",true
404112381,Vitia,Davidek,2/14/1984,Indonesia,Female,"Calexico East - Class A, California - 2507",false
689640583,Wilfred,Swadlin,2/24/1957,Portugal,Non-binary,"Nogales, Arizona - 2604",false
970059746,Colas,Lowsely,4/9/1973,Micronesia,Male,"Amarillo, Texas - 5502",true
948066165,Madison,Bister,6/28/1950,Brazil,Genderfluid,"Calexico East - Class A, California - 2507",true
290654885,Chane,Harle,1/10/1972,Ukraine,Genderqueer,"Amarillo, Texas - 5502",false
878616854,Wilden,Galbreath,1/17/1972,Jamaica,Female,"Tucson, Arizona - 2609",true
671449281,Valenka,MacAne,9/12/1962,Cuba,Polygender,"Tucson, Arizona - 2609",true
538291470,Clovis,Folbige,3/9/1997,China,Genderfluid,"Calexico East - Class A, California - 2507",true
554264208,Bunny,Crocetti,4/8/1956,China,Genderqueer,"Tucson, Arizona - 2609",false
521797620,Thorsten,Loving,11/25/1970,Indonesia,Female,"Albuquerque, New Mexico - 2407",true
426684947,Jenica,Howett,8/10/1989,Portugal,Agender,"Rio Grande City, Texas - 2307",true
397432291,Janith,Tubridy,9/1/1970,Brazil,Female,"Tucson, Arizona - 2609",false
868865484,Vale,Pentycost,8/29/1980,Russia,Genderfluid,"Calexico East - Class A, California - 2507",false
566261038,Spence,Ruddin,7/19/1952,Panama,Agender,"Rio Grande City, Texas - 2307",true
733663694,Rosco,Lammerich,1/6/1978,Germany,Genderqueer,"Albuquerque, New Mexico - 2407",false
718699298,Bobinette,Mulliner,12/9/1973,Democratic Republic of the Congo,Polygender,"Calexico East - Class A, California - 2507",true
191031847,Locke,Ashlin,10/20/1983,Morocco,Polygender,"Tucson, Arizona - 2609",true
932762980,Jacquette,Adlington,3/10/1985,Brazil,Genderqueer,"Albuquerque, New Mexico - 2407",false
681015571,Lucine,Daintith,6/21/1995,Philippines,Male,"Calexico East - Class A, California - 2507",false
976084179,Linnie,Bransom,12/29/1973,Ivory Coast,Bigender,"Nogales, Arizona - 2604",false
373067482,Dana,Siemianowicz,1/29/1972,Sweden,Male,"Tucson, Arizona - 2609",false
286670733,Curr,Howard,9/13/1984,Ukraine,Bigender,"Albuquerque, New Mexico - 2407",false
663391872,Nelson,Hollyman,2/4/1986,China,Non-binary,"Tucson, Arizona - 2609",true
593283005,Patrizio,Gonthard,9/26/1970,Thailand,Genderqueer,"Tucson, Arizona - 2609",true
563646157,Gwyn,Bondesen,11/10/1964,Albania,Genderqueer,"Nogales, Arizona - 2604",false
476105674,Jolee,Claris,7/30/1966,Ghana,Polygender,"Buffalo, New York - 0901",true
864872913,Nikki,Bernardi,11/14/1987,Indonesia,Female,"Tucson, Arizona - 2609",false
102591524,Maighdiln,Durtnel,9/9/1984,South Africa,Non-binary,"Tucson, Arizona - 2609",false
123445875,Muffin,Probey,1/31/1957,China,Non-binary,"Rio Grande City, Texas - 2307",false
744764581,Dominik,Lobb,7/19/1997,Colombia,Bigender,"Buffalo, New York - 0901",true
545973554,Kaitlyn,Riccioppo,12/5/1992,Indonesia,Female,"Nogales, Arizona - 2604",false
703434165,Bartel,Wodham,6/30/1984,Angola,Bigender,"Rio Grande City, Texas - 2307",true
476505487,Constantin,Bolan,12/9/1981,Portugal,Female,"Rio Grande City, Texas - 2307",false
776601123,Latisha,Rubinovici,8/5/1968,Portugal,Polygender,"Tucson, Arizona - 2609",true
685268307,Lamond,Ellcock,3/25/1958,China,Agender,"Amarillo, Texas - 5502",true
666441077,Travis,Sigert,12/26/1985,Argentina,Female,"Amarillo, Texas - 5502",true
728295922,Brent,Golsby,7/20/1994,Indonesia,Polygender,"Amarillo, Texas - 5502",false
170065300,Smitty,Duguid,3/30/1951,Indonesia,Agender,"Amarillo, Texas - 5502",true
385526169,Phelia,Lacotte,5/11/1993,United States,Agender,"Amarillo, Texas - 5502",false
837444123,Rolando,Label,8/19/1983,Ireland,Polygender,"Amarillo, Texas - 5502",true
491141424,Benson,Goodbarr,7/29/1957,Brazil,Male,"Tucson, Arizona - 2609",true
901616756,Nikolaus,Skim,9/28/1958,Albania,Female,"Albuquerque, New Mexico - 2407",false
812199776,Devlin,Rammell,1/19/1959,Monaco,Bigender,"Calexico East - Class A, California - 2507",true
734281880,Alvy,Leahey,9/6/1975,Brazil,Genderfluid,"Amarillo, Texas - 5502",false
104351757,Fabian,Fitzackerley,8/27/1952,Russia,Male,"Amarillo, Texas - 5502",false
694996936,Janaya,Gruszecki,6/8/1966,China,Male,"Albuquerque, New Mexico - 2407",true
956571411,Durward,Triner,12/27/1997,South Africa,Male,"Amarillo, Texas - 5502",false
539310222,Leonidas,Laidler,7/6/1962,China,Bigender,"Amarillo, Texas - 5502",true
258193877,Darb,Roxbee,4/20/1957,Japan,Genderfluid,"Calexico East - Class A, California - 2507",false
883417333,Malvina,Woolgar,9/15/1991,Philippines,Genderfluid,"Rio Grande City, Texas - 2307",true
712300947,Seumas,Baitey,5/10/1964,El Salvador,Female,"Calexico East - Class A, California - 2507",true
765085493,Quillan,Kembrey,9/7/1956,China,Genderqueer,"Rio Grande City, Texas - 2307",true
506451523,Lotte,Worsley,7/17/1968,Czech Republic,Polygender,"Buffalo, New York - 0901",true
884432709,Kissie,Bottle,11/25/1954,Nigeria,Polygender,"Albuquerque, New Mexico - 2407",true
238224412,Shayne,Healings,5/13/1996,Philippines,Polygender,"Nogales, Arizona - 2604",true
466706599,Pollyanna,Pawelczyk,8/24/1951,Indonesia,Polygender,"Rio Grande City, Texas - 2307",false
254754933,Mervin,Rallinshaw,10/9/1989,Mauritius,Male,"Amarillo, Texas - 5502",true
116448257,Wilek,Denisovich,1/22/1970,Thailand,Male,"Calexico East - Class A, California - 2507",false
815836657,Nerte,Tolefree,10/14/1982,Indonesia,Non-binary,"Rio Grande City, Texas - 2307",true
510124492,Ashla,Brignell,11/12/1971,Indonesia,Male,"Nogales, Arizona - 2604",true
373633211,Trent,Dagg,7/1/1990,Maldives,Bigender,"Rio Grande City, Texas - 2307",false
519932383,Mirna,McDowell,7/10/1956,Laos,Non-binary,"Rio Grande City, Texas - 2307",true
721508190,Killian,Casterou,2/24/1954,Portugal,Non-binary,"Amarillo, Texas - 5502",true
770511396,Iormina,Morriss,6/13/1965,Albania,Male,"Albuquerque, New Mexico - 2407",false
643894824,Joey,Dulton,1/4/1960,China,Female,"Rio Grande City, Texas - 2307",false
436561479,Lissie,Hindmoor,8/18/1971,Indonesia,Polygender,"Rio Grande City, Texas - 2307",false
211210206,Hal,Neem,2/27/1980,France,Female,"Nogales, Arizona - 2604",true
414828473,Kippie,Elwill,7/14/1957,Peru,Bigender,"Tucson, Arizona - 2609",false
191913618,Amery,McPhilemy,11/17/1988,Portugal,Non-binary,"Tucson, Arizona - 2609",true
834198707,Kippie,McCosh,3/26/1961,Panama,Non-binary,"Nogales, Arizona - 2604",true
816852206,Bev,Klimkovich,7/8/1956,China,Male,"Nogales, Arizona - 2604",false
224081637,Lu,O' Dornan,12/1/1982,Russia,Genderqueer,"Calexico East - Class A, California - 2507",true
119556029,Klement,Howlin,5/19/1970,China,Polygender,"Tucson, Arizona - 2609",false
585120919,Temp,Mabb,3/8/1994,Albania,Non-binary,"Albuquerque, New Mexico - 2407",true
140416368,Julie,Beldam,5/5/1973,Yemen,Genderfluid,"Buffalo, New York - 0901",false
183560264,Joseph,Bredes,6/3/1969,Uganda,Non-binary,"Amarillo, Texas - 5502",true
755887457,Avis,Sincock,4/12/1990,Mongolia,Polygender,"Buffalo, New York - 0901",false
978291530,Jon,Sissons,12/27/1970,Indonesia,Female,"Buffalo, New York - 0901",false
900294584,Dalia,Atkins,5/15/1979,Colombia,Genderfluid,"Calexico East - Class A, California - 2507",true
712238964,Nikolos,Arnaudi,2/7/1992,Indonesia,Non-binary,"Buffalo, New York - 0901",true
878437683,Alica,Popley,2/13/1960,Indonesia,Polygender,"Albuquerque, New Mexico - 2407",true
259581536,Luelle,Niven,3/4/1974,Indonesia,Non-binary,"Albuquerque, New Mexico - 2407",false
953425768,Ricca,Benam,3/5/1973,China,Bigender,"Rio Grande City, Texas - 2307",false
381325973,Cobby,Vinnicombe,5/5/1997,Philippines,Bigender,"Buffalo, New York - 0901",false
859054316,Cecile,Scholes,10/3/1979,Indonesia,Polygender,"Rio Grande City, Texas - 2307",true
605795904,Obediah,Barkaway,1/12/1979,China,Male,"Albuquerque, New Mexico - 2407",true
838856583,Major,Rames,3/23/1955,United States,Non-binary,"Buffalo, New York - 0901",true
639104592,Dyan,Willmont,1/8/1970,Poland,Male,"Calexico East - Class A, California - 2507",false
505152537,Paolina,Hedling,12/17/1953,Guatemala,Polygender,"Buffalo, New York - 0901",true
315036656,Elwyn,Gathwaite,2/17/1998,Philippines,Female,"Buffalo, New York - 0901",true
608135679,Gratia,Squires,6/15/1979,Czech Republic,Genderfluid,"Buffalo, New York - 0901",true
787419635,Adriaens,Rigate,8/5/1979,China,Agender,"Tucson, Arizona - 2609",false
763477721,Conrad,Spensly,7/15/1977,Portugal,Bigender,"Tucson, Arizona - 2609",true
790279441,Tania,Snookes,3/10/1994,Nauru,Non-binary,"Buffalo, New York - 0901",true
799835673,Malina,Gomery,1/29/1957,Iraq,Female,"Nogales, Arizona - 2604",true
448212056,Jessamine,Wortley,4/24/1957,Russia,Bigender,"Nogales, Arizona - 2604",false
687157219,Ximenez,Sevitt,1/13/1992,Brazil,Non-binary,"Nogales, Arizona - 2604",true
183637566,Wrennie,Magner,5/26/1964,Yemen,Bigender,"Albuquerque, New Mexico - 2407",false
821949928,Madel,Joffe,9/25/1950,Brazil,Non-binary,"Tucson, Arizona - 2609",true
515858002,Hamil,Salaman,3/26/1965,Portugal,Polygender,"Amarillo, Texas - 5502",true
961113242,Alisha,Finney,1/10/1953,Indonesia,Polygender,"Tucson, Arizona - 2609",true
193500937,Cass,Mandeville,9/17/1950,China,Agender,"Albuquerque, New Mexico - 2407",false
502851307,Chlo,Tours,4/7/1981,Norway,Non-binary,"Buffalo, New York - 0901",true
628294723,Kellia,Youell,12/27/1954,Portugal,Male,"Albuquerque, New Mexico - 2407",false
404970898,Rebecka,Duffy,3/4/1956,China,Polygender,"Albuquerque, New Mexico - 2407",false
138531646,Zsa zsa,Venning,8/16/1972,Nigeria,Genderqueer,"Tucson, Arizona - 2609",false
745388310,Vittoria,Furminger,10/7/1976,China,Non-binary,"Rio Grande City, Texas - 2307",false
195404870,Janeczka,Lovie,3/15/1988,Brazil,Male,"Albuquerque, New Mexico - 2407",true
369483152,Wallas,Aggio,9/25/1987,Russia,Genderqueer,"Amarillo, Texas - 5502",true
635400069,Yorker,Tweddell,7/28/1953,Uganda,Non-binary,"Amarillo, Texas - 5502",true
795915206,Courtenay,Ponder,11/26/1983,Costa Rica,Genderfluid,"Buffalo, New York - 0901",false
422624310,Daniel,Callacher,10/15/1985,Thailand,Non-binary,"Tucson, Arizona - 2609",false
731047834,Tamara,Chopping,4/26/1992,China,Genderfluid,"Nogales, Arizona - 2604",true
662734209,Ransom,Gosse,1/22/1988,Indonesia,Female,"Nogales, Arizona - 2604",true
400882787,Lutero,Chastaing,1/8/1997,Palestinian Territory,Polygender,"Amarillo, Texas - 5502",true
665942402,Collie,Goard,5/14/1987,Italy,Male,"Buffalo, New York - 0901",true
764749076,Nari,Le Friec,1/25/1987,Argentina,Polygender,"Albuquerque, New Mexico - 2407",true
606121564,Alfons,Greatbank,3/2/1988,Russia,Genderfluid,"Amarillo, Texas - 5502",false
269346644,Marlie,McUre,3/3/1970,French Guiana,Genderfluid,"Nogales, Arizona - 2604",true
735489245,Regan,Scranney,7/12/1986,Sweden,Polygender,"Nogales, Arizona - 2604",true
505927085,Kristofer,Dentith,11/26/1965,Serbia,Bigender,"Albuquerque, New Mexico - 2407",true
618848481,Isaak,Brunone,9/16/1957,Nigeria,Bigender,"Nogales, Arizona - 2604",true
533839403,Forrest,Allston,9/5/1991,China,Polygender,"Albuquerque, New Mexico - 2407",false
645944716,Henriette,Levesley,9/15/1969,Poland,Genderfluid,"Calexico East - Class A, California - 2507",true
507783668,Kayley,Stanmer,1/5/1994,Peru,Bigender,"Calexico East - Class A, California - 2507",true
110479699,Sandie,Bottinelli,2/25/1966,Russia,Male,"Buffalo, New York - 0901",false
158667180,Jobey,Jenkinson,6/19/1989,Zambia,Female,"Buffalo, New York - 0901",false
573429937,Shaun,O'Scollee,9/11/1987,Indonesia,Agender,"Albuquerque, New Mexico - 2407",true
408130267,Regan,Daenen,9/23/1975,China,Genderfluid,"Amarillo, Texas - 5502",false
747568192,Cale,Leppington,12/1/1998,Philippines,Genderqueer,"Rio Grande City, Texas - 2307",false
948378081,Eran,Scatchard,8/9/1973,Russia,Bigender,"Amarillo, Texas - 5502",false
548051689,Albie,Sudlow,5/27/1988,Mongolia,Male,"Amarillo, Texas - 5502",true
160996047,Lion,Denerley,10/18/1993,Turkmenistan,Non-binary,"Albuquerque, New Mexico - 2407",true
551467051,Josi,Delion,10/29/1958,Finland,Female,"Tucson, Arizona - 2609",true
440729494,Nickola,Cappel,11/8/1982,Russia,Genderfluid,"Rio Grande City, Texas - 2307",false
262886180,Waneta,Eddy,1/7/1981,Sierra Leone,Female,"Rio Grande City, Texas - 2307",true
367581521,Kitty,de Werk,8/29/1957,Iran,Genderqueer,"Calexico East - Class A, California - 2507",true
798485553,Constantia,Ezzy,5/4/1978,Czech Republic,Bigender,"Calexico East - Class A, California - 2507",false
773532702,Carlee,Endecott,10/14/1951,Indonesia,Genderfluid,"Amarillo, Texas - 5502",true
274549974,Georgina,Adnam,10/8/1997,France,Genderqueer,"Albuquerque, New Mexico - 2407",false
127749496,Dallon,O'Neill,11/6/1965,Sweden,Female,"Buffalo, New York - 0901",false
306458945,Noah,Hubery,12/3/1991,China,Polygender,"Nogales, Arizona - 2604",false
696023050,Naoma,Dobie,5/25/1970,Philippines,Genderfluid,"Tucson, Arizona - 2609",true
882623786,Kin,Yeabsley,12/13/1968,Germany,Male,"Nogales, Arizona - 2604",false
889840786,Dan,Baggalley,8/28/1975,Thailand,Polygender,"Calexico East - Class A, California - 2507",false
588546494,Carin,Teape,5/2/1953,Indonesia,Agender,"Amarillo, Texas - 5502",true
300950481,Marijn,Every,1/13/1974,Finland,Agender,"Tucson, Arizona - 2609",false
165733699,Artus,Sweatland,7/31/1990,Estonia,Agender,"Nogales, Arizona - 2604",true
969208932,Glyn,Poncet,7/17/1963,Poland,Polygender,"Calexico East - Class A, California - 2507",true
381981683,Baldwin,Frances,1/7/1964,France,Genderqueer,"Albuquerque, New Mexico - 2407",false
768149624,Dori,Cowthard,8/22/1986,Ukraine,Genderqueer,"Buffalo, New York - 0901",true
315498066,Geraldine,Pinn,12/14/1952,Portugal,Polygender,"Amarillo, Texas - 5502",false
377610232,Stewart,Kohler,4/9/1995,Sri Lanka,Bigender,"Calexico East - Class A, California - 2507",false
412196563,Caleb,Balkwill,12/25/1998,Ivory Coast,Female,"Calexico East - Class A, California - 2507",true
867997767,Burtie,Cantrill,8/31/1993,Philippines,Bigender,"Rio Grande City, Texas - 2307",true
935079037,Dannie,Thebeaud,2/16/1966,Bosnia and Herzegovina,Female,"Buffalo, New York - 0901",false
858451116,Ingrid,Kinson,1/14/1971,Philippines,Polygender,"Buffalo, New York - 0901",false
302766615,Clarance,Ondrak,9/16/1956,Mexico,Female,"Amarillo, Texas - 5502",true
459562530,Denney,Handrek,12/4/1987,Ukraine,Polygender,"Albuquerque, New Mexico - 2407",true
255437954,Margeaux,Meins,8/4/1957,Laos,Polygender,"Amarillo, Texas - 5502",true
738101950,Magdaia,De Blasiis,8/13/1987,Portugal,Genderqueer,"Nogales, Arizona - 2604",true
888456459,Norah,Oxborough,10/23/1990,Philippines,Polygender,"Tucson, Arizona - 2609",true
207140069,Charlean,Mapis,4/11/1991,Vietnam,Polygender,"Rio Grande City, Texas - 2307",false
781194374,Minne,Jaime,6/8/1960,China,Male,"Rio Grande City, Texas - 2307",true
403652952,Gerald,Desborough,5/23/1954,Russia,Agender,"Albuquerque, New Mexico - 2407",false
196299792,Etienne,Folca,2/10/1987,United States,Agender,"Nogales, Arizona - 2604",false
125776843,Guido,Stelfax,8/15/1961,Hungary,Male,"Rio Grande City, Texas - 2307",true
135912435,Nehemiah,Perone,4/17/1984,Indonesia,Polygender,"Nogales, Arizona - 2604",true
603801259,Gilberte,O'Mullally,5/15/1993,China,Bigender,"Nogales, Arizona - 2604",true
307436425,Langston,Bullivent,1/19/1988,Brazil,Genderfluid,"Amarillo, Texas - 5502",false
524824539,Becka,Flanagan,5/23/1951,Panama,Genderfluid,"Amarillo, Texas - 5502",true
918226373,Mathew,Knightsbridge,7/17/1997,China,Polygender,"Rio Grande City, Texas - 2307",false
824717168,Taryn,Blundell,3/7/1962,Indonesia,Bigender,"Nogales, Arizona - 2604",true
609068363,Darsey,Raffan,4/7/1990,Philippines,Genderfluid,"Albuquerque, New Mexico - 2407",false
693730392,Fanchon,Loges,9/1/1997,Bolivia,Agender,"Buffalo, New York - 0901",false
418516338,Kendell,Flement,11/29/1973,Greece,Agender,"Tucson, Arizona - 2609",false
231379251,Giffy,Tallyn,11/21/1998,Indonesia,Genderqueer,"Tucson, Arizona - 2609",false
353542885,Maxie,Worman,4/5/1972,Peru,Genderqueer,"Tucson, Arizona - 2609",true
354392214,Yvonne,Escolme,6/2/1962,Sweden,Agender,"Calexico East - Class A, California - 2507",true
350097153,Andriette,Malyj,1/7/1960,South Africa,Bigender,"Buffalo, New York - 0901",false
691505416,Welch,Drinkwater,3/31/1972,Ukraine,Agender,"Buffalo, New York - 0901",true
390272924,Jarred,Gjerde,8/11/1991,China,Genderqueer,"Amarillo, Texas - 5502",false
249948854,Basia,Tills,1/16/1991,Portugal,Genderqueer,"Nogales, Arizona - 2604",false
389299437,Tobe,Theyer,7/14/1956,France,Polygender,"Albuquerque, New Mexico - 2407",false
224466881,Sterne,Goldsberry,9/21/1989,China,Female,"Nogales, Arizona - 2604",true
984113592,Winnifred,Fehner,5/1/1984,Chile,Genderqueer,"Amarillo, Texas - 5502",true
480637561,Karalynn,Drewett,10/24/1956,Saudi Arabia,Non-binary,"Amarillo, Texas - 5502",false
187290298,Hannah,Shattock,11/1/1999,Peru,Genderfluid,"Amarillo, Texas - 5502",true
101859126,Reg,Lilford,8/29/1951,Czech Republic,Male,"Nogales, Arizona - 2604",true
492185158,Lorant,Eminson,6/3/1999,Philippines,Male,"Tucson, Arizona - 2609",true
813386007,Dino,Madden,12/28/1981,Nicaragua,Agender,"Calexico East - Class A, California - 2507",false
531294678,Karl,Vautrey,12/14/1997,Philippines,Male,"Buffalo, New York - 0901",true
482784577,Pooh,Daunay,8/22/1997,Tajikistan,Polygender,"Calexico East - Class A, California - 2507",false
541851387,Lizette,Lambregts,10/18/1951,Malawi,Non-binary,"Buffalo, New York - 0901",true
517578324,Etienne,Gooch,7/26/1958,Comoros,Male,"Rio Grande City, Texas - 2307",true
738481921,Angel,Burrows,11/30/1969,South Africa,Genderqueer,"Rio Grande City, Texas - 2307",true
325154733,Barnie,Antonik,10/6/1983,Netherlands,Female,"Buffalo, New York - 0901",false
934561009,Port,O' Loughran,7/8/1968,Sudan,Male,"Buffalo, New York - 0901",true
661198537,Rodney,Clemmitt,1/23/1964,China,Male,"Buffalo, New York - 0901",false
599735232,Kleon,Osorio,12/18/1994,Indonesia,Non-binary,"Tucson, Arizona - 2609",false
859449411,Kelley,Hoodlass,2/8/1970,Russia,Male,"Calexico East - Class A, California - 2507",false
539256734,Olivie,Hendrix,5/7/1989,Cuba,Non-binary,"Albuquerque, New Mexico - 2407",true
223175542,Ulises,Storton,7/16/1956,Pakistan,Genderqueer,"Tucson, Arizona - 2609",true
863514183,Stephani,Ginnelly,10/29/1969,China,Polygender,"Nogales, Arizona - 2604",true
787581605,Bamby,Mattisssen,8/13/1978,Brazil,Genderfluid,"Tucson, Arizona - 2609",false
763098970,Stacee,Duran,8/18/1973,Russia,Polygender,"Albuquerque, New Mexico - 2407",true
718059543,Hal,Willment,10/2/1975,France,Non-binary,"Buffalo, New York - 0901",true
206582796,Herculie,Duffyn,7/16/1990,Macedonia,Polygender,"Albuquerque, New Mexico - 2407",false
531313442,Alexandrina,Sartin,3/2/1998,Saint Vincent and the Grenadines,Bigender,"Albuquerque, New Mexico - 2407",false
574170492,Farand,Cavnor,9/2/1996,China,Genderfluid,"Amarillo, Texas - 5502",true
872438553,Huntlee,Pote,11/4/1992,China,Non-binary,"Tucson, Arizona - 2609",false
695964397,Umeko,Gooderridge,10/3/1958,China,Agender,"Rio Grande City, Texas - 2307",true
770389674,Ban,Sacchetti,4/18/1971,China,Polygender,"Albuquerque, New Mexico - 2407",true
483031596,Brittni,Haydock,12/4/1986,Portugal,Bigender,"Albuquerque, New Mexico - 2407",true
500832628,Coreen,Yoselevitch,6/25/1986,Sweden,Polygender,"Rio Grande City, Texas - 2307",true
458555945,Imogen,Dassindale,9/4/1998,Brazil,Non-binary,"Albuquerque, New Mexico - 2407",false
105870469,Roanna,De Roberto,11/6/1975,Indonesia,Genderqueer,"Nogales, Arizona - 2604",false
245225589,Deina,Thomtson,11/14/1991,Sweden,Bigender,"Tucson, Arizona - 2609",false
842878073,Clarance,Gillimgham,1/18/1952,Sweden,Genderqueer,"Calexico East - Class A, California - 2507",false
387356263,Isidore,Klimkiewich,10/4/1964,Peru,Genderfluid,"Buffalo, New York - 0901",true
251097776,Donella,Tressler,11/8/1977,Italy,Genderqueer,"Amarillo, Texas - 5502",false
921136265,Meris,Gumn,12/1/1981,Canada,Female,"Nogales, Arizona - 2604",true
142079617,Carmela,Lilbourne,5/11/1996,Brazil,Genderfluid,"Calexico East - Class A, California - 2507",true
294309995,Morgen,Friedman,10/23/1993,Malaysia,Genderfluid,"Calexico East - Class A, California - 2507",true
117559203,Sibella,Davidovic,3/23/1981,China,Non-binary,"Tucson, Arizona - 2609",true
452657410,Christel,Manwaring,2/24/1979,Cuba,Polygender,"Albuquerque, New Mexico - 2407",false
568536843,Lavinie,Tabner,2/20/1996,Indonesia,Agender,"Tucson, Arizona - 2609",true
910517004,Rosanne,Ridolfi,7/10/1978,Indonesia,Female,"Buffalo, New York - 0901",false
281131035,Arlie,Garrat,2/19/1996,France,Genderfluid,"Albuquerque, New Mexico - 2407",true
173510692,Perla,Baptie,11/3/1950,Brazil,Genderfluid,"Calexico East - Class A, California - 2507",true
273515753,Rinaldo,Call,10/21/1957,Nicaragua,Bigender,"Albuquerque, New Mexico - 2407",true
276862650,Major,Klaes,6/18/1950,United States,Genderqueer,"Rio Grande City, Texas - 2307",false
858703933,Saree,Winfield,8/7/1956,United States,Genderfluid,"Albuquerque, New Mexico - 2407",true
326924751,Wylma,Bonnesen,11/13/1980,Indonesia,Genderfluid,"Tucson, Arizona - 2609",false
525870153,Elvera,Broek,4/20/1995,Indonesia,Polygender,"Calexico East - Class A, California - 2507",true
848536710,Oriana,Danilchenko,8/8/1956,Indonesia,Polygender,"Tucson, Arizona - 2609",true
395464411,Shannan,Jertz,3/15/1984,Cambodia,Non-binary,"Tucson, Arizona - 2609",false
903027376,Tyne,Cawthorn,6/15/1974,Colombia,Genderqueer,"Buffalo, New York - 0901",false
123642165,Konstantin,Rigg,9/23/1999,Uruguay,Male,"Rio Grande City, Texas - 2307",true
433824467,Jecho,Stebbing,12/3/1974,China,Genderfluid,"Calexico East - Class A, California - 2507",true
214227021,Prudi,Ponceford,3/19/1960,Sweden,Genderfluid,"Nogales, Arizona - 2604",false
616943478,Glennie,Jedrzejewicz,5/7/1967,Uganda,Genderqueer,"Calexico East - Class A, California - 2507",false
849867487,Mathilde,Wyldes,6/18/1976,Russia,Female,"Tucson, Arizona - 2609",false
323201105,Albrecht,Seabrooke,8/25/1955,Brazil,Non-binary,"Buffalo, New York - 0901",false
999800074,Jenine,Bruhnke,12/25/1992,China,Male,"Tucson, Arizona - 2609",false
767286153,Tallie,Bilson,1/20/1982,Honduras,Non-binary,"Albuquerque, New Mexico - 2407",true
303265531,Rebe,Le Monnier,4/24/1954,China,Genderfluid,"Rio Grande City, Texas - 2307",false
866267781,Matteo,Dikles,5/5/1977,Iran,Agender,"Albuquerque, New Mexico - 2407",false
463753716,Murielle,Cannan,2/2/1955,Philippines,Non-binary,"Calexico East - Class A, California - 2507",true
